policy,office_days,remote_days,replication,seed,flexibility,collaboration,functional_form,simulation_days,n_employees,initial_engagement,final_engagement,relative_improvement,initial_engagement_assumption
P1,5,0,1,42,0.2,1.0,nonlinear,365,100,0.3,0.565491168154797,88.49705605159902,0.3
P1,5,0,2,43,0.2,1.0,nonlinear,365,100,0.3,0.5700615352520774,90.02051175069246,0.3
P1,5,0,3,44,0.2,1.0,nonlinear,365,100,0.3,0.5671916812429593,89.0638937476531,0.3
P1,5,0,4,45,0.2,1.0,nonlinear,365,100,0.3,0.5711612097526518,90.38706991755062,0.3
P1,5,0,5,46,0.2,1.0,nonlinear,365,100,0.3,0.5682945948800431,89.43153162668104,0.3
P1,5,0,6,47,0.2,1.0,nonlinear,365,100,0.3,0.5709429044813423,90.31430149378077,0.3
P1,5,0,7,48,0.2,1.0,nonlinear,365,100,0.3,0.568170370959597,89.390123653199,0.3
P1,5,0,8,49,0.2,1.0,nonlinear,365,100,0.3,0.5720571954897763,90.68573182992544,0.3
P1,5,0,9,50,0.2,1.0,nonlinear,365,100,0.3,0.5682748508808267,89.42495029360892,0.3
P1,5,0,10,51,0.2,1.0,nonlinear,365,100,0.3,0.5729101659090354,90.97005530301182,0.3
P1,5,0,11,52,0.2,1.0,nonlinear,365,100,0.3,0.5728114082713327,90.93713609044424,0.3
P1,5,0,12,53,0.2,1.0,nonlinear,365,100,0.3,0.5693642231595485,89.78807438651617,0.3
P1,5,0,13,54,0.2,1.0,nonlinear,365,100,0.3,0.5699443519878323,89.98145066261078,0.3
P1,5,0,14,55,0.2,1.0,nonlinear,365,100,0.3,0.571460611114513,90.48687037150432,0.3
P1,5,0,15,56,0.2,1.0,nonlinear,365,100,0.3,0.5727250429404851,90.90834764682837,0.3
P1,5,0,16,57,0.2,1.0,nonlinear,365,100,0.3,0.5651091819515601,88.36972731718672,0.3
P1,5,0,17,58,0.2,1.0,nonlinear,365,100,0.3,0.5747007313099156,91.56691043663855,0.3
P1,5,0,18,59,0.2,1.0,nonlinear,365,100,0.3,0.5678824090956299,89.29413636520998,0.3
P1,5,0,19,60,0.2,1.0,nonlinear,365,100,0.3,0.5685955128837415,89.53183762791386,0.3
P1,5,0,20,61,0.2,1.0,nonlinear,365,100,0.3,0.5639350602034837,87.97835340116124,0.3
P1,5,0,21,62,0.2,1.0,nonlinear,365,100,0.3,0.5703557001726058,90.11856672420195,0.3
P1,5,0,22,63,0.2,1.0,nonlinear,365,100,0.3,0.5641133798725254,88.03779329084182,0.3
P1,5,0,23,64,0.2,1.0,nonlinear,365,100,0.3,0.568793384644227,89.59779488140902,0.3
P1,5,0,24,65,0.2,1.0,nonlinear,365,100,0.3,0.5764800635054464,92.16002116848216,0.3
P1,5,0,25,66,0.2,1.0,nonlinear,365,100,0.3,0.5661672102504461,88.72240341681538,0.3
P1,5,0,26,67,0.2,1.0,nonlinear,365,100,0.3,0.572023134495854,90.67437816528466,0.3
P1,5,0,27,68,0.2,1.0,nonlinear,365,100,0.3,0.5773887245091845,92.46290816972818,0.3
P1,5,0,28,69,0.2,1.0,nonlinear,365,100,0.3,0.576366273338781,92.12209111292701,0.3
P1,5,0,29,70,0.2,1.0,nonlinear,365,100,0.3,0.5679293424595128,89.3097808198376,0.3
P1,5,0,30,71,0.2,1.0,nonlinear,365,100,0.3,0.5696517240059301,89.8839080019767,0.3
P2,4,1,1,42,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.3,0.5946933278883983,98.23110929613279,0.3
P2,4,1,2,43,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.3,0.5980865727667604,99.36219092225346,0.3
P2,4,1,3,44,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.3,0.5959579930622285,98.65266435407618,0.3
P2,4,1,4,45,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.3,0.599744209805553,99.914736601851,0.3
P2,4,1,5,46,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.3,0.5968580512362779,98.95268374542597,0.3
P2,4,1,6,47,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.3,0.5999189977081952,99.97299923606508,0.3
P2,4,1,7,48,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.3,0.5964007073106269,98.80023577020897,0.3
P2,4,1,8,49,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.3,0.5993733306536904,99.7911102178968,0.3
P2,4,1,9,50,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.3,0.5952631653229054,98.42105510763513,0.3
P2,4,1,10,51,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.3,0.6021999776771689,100.73332589238966,0.3
P2,4,1,11,52,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.3,0.6014728732677752,100.49095775592507,0.3
P2,4,1,12,53,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.3,0.5986509982183718,99.55033273945726,0.3
P2,4,1,13,54,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.3,0.5986406206400189,99.54687354667297,0.3
P2,4,1,14,55,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.3,0.6000588939666351,100.01963132221172,0.3
P2,4,1,15,56,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.3,0.6002122125031926,100.07073750106419,0.3
P2,4,1,16,57,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.3,0.5944012273304171,98.13374244347239,0.3
P2,4,1,17,58,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.3,0.6015841840127282,100.52806133757606,0.3
P2,4,1,18,59,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.3,0.5973343232360567,99.11144107868559,0.3
P2,4,1,19,60,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.3,0.5966053981979871,98.86846606599569,0.3
P2,4,1,20,61,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.3,0.5931474192605086,97.71580642016954,0.3
P2,4,1,21,62,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.3,0.6012083394280685,100.40277980935616,0.3
